found_date,auto_tier_guess,auto_score,myth_flag,source_api,title,authors,year,pub_date,type,venue,open_access,preprint,doi,url,query,status
2026-07-27,A?,14,,OpenAlex,Non-pharmacological therapies for sleep and occupational stress regulation among nightshift nurses: a systematic review and Bayesian network meta-analysis based on randomized controlled trials,"Guangrong Deng, Li Zeng, Fang Wang, Hailong Hou, Lu Liu, Yu An",2026,2026-07-24,review,Frontiers in Public Health,OA,,10.3389/fpubh.2026.1882224,https://doi.org/10.3389/fpubh.2026.1882224,sleep deprivation cognitive performance work,NEW — to review
2026-07-27,A?,12,,OpenAlex,"Green Office Practices from a Sustainable Organizational Management Perspective: A Systematic Review of Environmental Management, Green HRM and Employee Pro-Environmental Behaviour",Jasmina Štarc,2026,2026-07-24,review,Administrative Sciences,OA,,10.3390/admsci16080355,https://doi.org/10.3390/admsci16080355,hybrid work employee outcomes,NEW — to review
2026-07-27,A?,11,,OpenAlex,"Remote-Work Preference in a Mid-Sized U.S. Metropolitan Survey Sample: Sociodemographic, Experiential, Occupational, and Attitudinal Correlates","Heba Z. Nusair, Mintai Kim",2026,2026-07-24,article,Urban Science,OA,,10.3390/urbansci10080424,https://doi.org/10.3390/urbansci10080424,remote work wellbeing productivity,NEW — to review
2026-07-27,A?,11,,OpenAlex,From algorithmic engagement to sustainable work: a TRUST-AI framework for human-centered HR analytics in emerging economy workplaces,"Mansi Arora Kapoor, Sona Vikas, Saumya Sharma",2026,2026-07-24,article,Frontiers in Human Dynamics,OA,,10.3389/fhumd.2026.1883258,https://doi.org/10.3389/fhumd.2026.1883258,generative AI worker productivity,NEW — to review
2026-07-27,A?,10,,OpenAlex,Self-compassion and its association with occupational burnout among young and middle-aged nurses: a cross-sectional study in China,"Yanyan Dong, Qionghui Sun, Jiameng Shi, Yu Ys, Jianjun Zhu, Lifang Dong",2026,2026-07-24,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1905982,https://doi.org/10.3389/fpsyg.2026.1905982,technostress employees,NEW — to review
2026-07-27,A?,9,,OpenAlex,Employee Engagement in Hybrid Work Environments: A Systematic Literature Review,"Priyanka Gehlot, Dr. Suresh Saini, Himanshu Kataria, Shivani Wadhwa",2026,2026-07-24,review,International Journal of Economic Practices and Theories,OA,,10.52783/ijept.764,https://doi.org/10.52783/ijept.764,remote work wellbeing productivity,NEW — to review
2026-07-27,A?,9,,OpenAlex,Approaches to employee retention challenges in corporate organisations: A systematic literature review,"Damilola Victoria Adeliyi, Ayogeboh Epizitone, Smangele Pretty Moyane",2026,2026-07-24,review,International Journal of Research in Business and Social Science (2147-4478),OA,,10.20525/ijrbs.v15i4.5050,https://doi.org/10.20525/ijrbs.v15i4.5050,remote work wellbeing productivity,NEW — to review
2026-07-27,A?,9,,OpenAlex,Preparing the maritime workforce for the twin transition: skill priorities and educational needs,"Phoebe Koundouri, Conrad Landis, Panagiota Koltsida, Lydia Papadaki, Eleni Toli",2026,2026-07-24,article,Frontiers in Environmental Economics,OA,,10.3389/frevc.2026.1887750,https://doi.org/10.3389/frevc.2026.1887750,generative AI worker productivity,NEW — to review
2026-07-27,A?,9,,OpenAlex,Quiet quitting among Gen Z and millennial employees: contributing factors and organisational mitigation strategies,"Marilyn Joe, Nelesh Dhanpat",2026,2026-07-24,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1839119,https://doi.org/10.3389/fpsyg.2026.1839119,generative AI worker productivity,NEW — to review
2026-07-27,A?,9,,OpenAlex,“Overdependence on algorithms?”: how artificial intelligence ethical leadership can safeguard self-efficacy and spur innovation,"Byung-Jik Kim, Yeon-Jun Choi, Julak Lee",2026,2026-07-24,article,Humanities and Social Sciences Communications,OA,,10.1057/s41599-026-08430-2,https://doi.org/10.1057/s41599-026-08430-2,technostress employees,NEW — to review
2026-07-27,A?,9,,OpenAlex,Taking the role of marketing in consumer well-being seriously: It is about time—the PACT framework,"Andreas B. Eisingerich, Deborah J. MacInnis, Barbara Duffek, Winze Tam",2026,2026-07-24,article,Journal of the Academy of Marketing Science,OA,,10.1007/s11747-026-01179-9,https://doi.org/10.1007/s11747-026-01179-9,loneliness work social connection,NEW — to review
2026-07-27,A?,9,,OpenAlex,Digital Leadership in Industry 4.0 and 5.0,Nataliia Vavdiiuk,2026,2026-07-23,article,Journal of Intelligent Decision Making and Information Science,OA,,10.59543/jidmis.v3.795,https://doi.org/10.59543/jidmis.v3.795,remote work wellbeing productivity,NEW — to review
2026-07-27,A?,9,,OpenAlex,"BURNOUT SYNDROME AMONG HEALTHCARE PROFESSIONALS: A NARRATIVE REVIEW OF EPIDEMIOLOGY, CLINICAL CONSEQUENCES, AND INTERVENTIONS","Jakub Mazur, Mateusz Kosowski, Jakub Marciniak, Daniel Chołuj, Karolina Zarówna, Weronika Pura",2026,2026-07-22,review,International Journal of Innovative Technologies in Social Science,OA,,10.31435/ijitss.3(51).2026.6238,https://doi.org/10.31435/ijitss.3(51).2026.6238,job strain cardiovascular disease,NEW — to review
2026-07-27,B?,8,,OpenAlex,Impact of sustainability practices on organizational performance: path analysis from natural resources-based view,"Yi Li, YuHeng Tian, Nelson Oly Ndubisi, G Li",2026,2026-07-25,article,Humanities and Social Sciences Communications,OA,,10.1057/s41599-026-08482-4,https://doi.org/10.1057/s41599-026-08482-4,human-AI collaboration workplace,NEW — to review
2026-07-27,B?,8,,OpenAlex,How Teacher–Learner–AI collaboration empowers AI literacy of older adults: a case study of an older adult school in China,"Dengke Liu, J H Li",2026,2026-07-25,article,Humanities and Social Sciences Communications,OA,,10.1057/s41599-026-08471-7,https://doi.org/10.1057/s41599-026-08471-7,human-AI collaboration workplace,NEW — to review
2026-07-27,B?,8,,OpenAlex,Workplace ostracism research: a bibliometric review and research trend analysis,"Shuzhao Li, Marikan Dayang Affizzah binti Awang",2026,2026-07-24,article,Human Resources Management and Services,OA,,10.18282/hrms5933,https://doi.org/10.18282/hrms5933,hybrid work employee outcomes,NEW — to review
2026-07-27,B?,8,,OpenAlex,Integrating individual and organizational factors: Drivers of patient satisfaction in Indonesia premuim hospitals,"Agus Wismoyo, Muhammad Yorga Permana",2026,2026-07-24,article,International Journal of Research in Business and Social Science (2147-4478),OA,,10.20525/ijrbs.v15i4.5250,https://doi.org/10.20525/ijrbs.v15i4.5250,attention interruptions knowledge workers,NEW — to review
2026-07-27,B?,8,,OpenAlex,"AI awareness, AI fear of missing out, and work demotivation as pathways to occupational strain in Vietnamese hospitality employees","Pham Quang Tin, T. C. Nguyen, Ha-Vi Nguyen, Le Duc Toan",2026,2026-07-24,article,Acta Psychologica,OA,,10.1016/j.actpsy.2026.107517,https://doi.org/10.1016/j.actpsy.2026.107517,technostress employees,NEW — to review
2026-07-27,B?,8,,OpenAlex,Promoting Physical and Mental Health in Blue-Collar Industries: A Longitudinal Study Using Organizational Interventions and Composite Metrics,"Ashley Matejka, Marcos A. Sanchez‐Gonzalez, Syed A. A. Rizvi, Troy Grogan, David Harris",2026,2026-07-22,article,Journal of Mind and Medical Sciences,OA,,10.3390/jmms13030017,https://doi.org/10.3390/jmms13030017,job strain cardiovascular disease,NEW — to review
