found_date,auto_tier_guess,auto_score,myth_flag,source_api,title,authors,year,pub_date,type,venue,open_access,preprint,doi,url,query,status
2026-07-27,B?,7,,OpenAlex,The role of artificial intelligence in transforming human resource management and sustainable workplace practices,"Mohammad Sultan Ahmad Ansari, Henry Jonathan, Hothefa Shaker, Jamal A. Farooquie, Ana Jovancai Stakić",2026,2026-07-25,article,Discover Artificial Intelligence,OA,,10.1007/s44163-026-01845-5,https://doi.org/10.1007/s44163-026-01845-5,human-AI collaboration workplace,NEW — to review
2026-07-27,B?,7,,OpenAlex,Social support and work–family conflict: a systematic literature review of moderating mechanisms across occupational contexts,"Febriyeni Febriyeni, Afdal Afdal, Dina Sukma, Nurfarhanah Nurfarhanah",2026,2026-07-24,review,Journal of Counseling Education and Society,OA,,10.29210/08jces689300,https://doi.org/10.29210/08jces689300,remote work wellbeing productivity,NEW — to review
2026-07-27,B?,7,,OpenAlex,"Working in Extreme Heat, an Invisible Occupational Risk: Legislation, Risk Management and Policy Recommendations for Türkiye: Turkish Thoracic Society Workshop Report on the Regulation of Working Conditions in Extreme Heat","Sebahat Genç, Selin Çakmakcı Karakaya, Sabri Serhan Olcay, Mikdat Kadıoğlu, İstemi Ceysu Dinç Ütükler",2026,2026-07-23,article,Thoracic research and practice,OA,,10.4274/thoracrespract.2026.2026-2-5,https://doi.org/10.4274/thoracrespract.2026.2026-2-5,job strain cardiovascular disease,NEW — to review
2026-07-27,B?,7,,OpenAlex,From Mineral Waters to Mental Wellbeing: A Biopsychosocial Framework for Health Resort Medicine,"Gianluca Regazzo, Francisco Maraver, Antonella Fioravanti, Stefano Masiero",2026,2026-07-21,article,Water,OA,,10.3390/w18141755,https://doi.org/10.3390/w18141755,occupational stress cortisol HPA axis,NEW — to review
2026-07-27,B?,6,,Crossref,The digital mindfulness scale: Development and longitudinal validation in the workplace,"Elizabeth Marsh, Elvira Perez Vallejos, Alexa Spence",2027,2027-1,journal-article,Computers in Human Behavior,?,,10.1016/j.chb.2026.109124,https://doi.org/10.1016/j.chb.2026.109124,workplace burnout neuroscience,NEW — to review
2026-07-27,B?,6,,Crossref,"How to enhance employees’ emotional, cognitive, and intentional readiness for retail automation in the fashion retail industry: A mixed PLS-SEM, NCA, and fsQCA study","Xun (Catherine) Sun, Jung Ha-Brookshire",2027,2027-1,journal-article,Journal of Retailing and Consumer Services,?,,10.1016/j.jretconser.2026.104989,https://doi.org/10.1016/j.jretconser.2026.104989,technostress employees,NEW — to review
2026-07-27,B?,6,,OpenAlex,Artificial intelligence as manager: confronting implementation barriers and shaping future research,"Arne Jeppe, Tim Brée, Erik Karger, Frederik Ahlemann, Heike Proff",2026,2026-07-25,article,Management Review Quarterly,OA,,10.1007/s11301-026-00622-z,https://doi.org/10.1007/s11301-026-00622-z,remote work wellbeing productivity,NEW — to review
2026-07-27,B?,6,,OpenAlex,"Community health worker-led models for chronic disease prevention and management in the United States: A narrative review of evidence, implementation science, and policy implications","Yvonne Senam Woyome, Edward Oware",2026,2026-07-25,review,Magna Scientia Advanced Research and Reviews,OA,,10.30574/msarr.2026.17.2.0146,https://doi.org/10.30574/msarr.2026.17.2.0146,hybrid work employee outcomes,NEW — to review
2026-07-27,B?,6,,OpenAlex,"Extending the Job Demands-Resource Model in Classified Work Environments: A Longitudinal Analysis of Job Demands, Resources, Job Satisfaction, and Retention Among Engineers",Gregory Gooden,2026,2026-07-24,dissertation,ODU Digital Commons (Old Dominion University),OA,,10.25777/9t1q-3380,https://doi.org/10.25777/9t1q-3380,remote work wellbeing productivity,NEW — to review
2026-07-27,B?,6,,OpenAlex,A fine-grained defect-sensitive local–global multiscale vision transformer framework for urban visual pollution prediction,"Peng Xu, Jingyi Shen, Taotao Zou, Fa Shen, Yalun Lei, Digong Liu",2026,2026-07-24,article,Scientific Reports,OA,,10.1038/s41598-026-63974-2,https://doi.org/10.1038/s41598-026-63974-2,remote work wellbeing productivity,NEW — to review
2026-07-27,B?,6,,OpenAlex,Excess Work-Hour Proportion Between Primary and Associate Nurses in a High Care Unit: A Comparative Analytic Roster-Based Study,"Windri Dewi Ayu, Arni Wianti, Ahmad Jaelani",2026,2026-07-24,article,Juru Rawat Jurnal Update Keperawatan,OA,,10.31983/juk.v6i2.15003,https://doi.org/10.31983/juk.v6i2.15003,hybrid work employee outcomes,NEW — to review
2026-07-27,B?,6,,OpenAlex,"Human-AI Collaboration and Trust in Human Resource Management: Opportunities, Challenges and Framework for Fair Implementation",Nidhi Goel,2026,2026-07-24,article,International Journal For Multidisciplinary Research,OA,,10.36948/ijfmr.2026.v08i04.84524,https://doi.org/10.36948/ijfmr.2026.v08i04.84524,technostress employees,NEW — to review
2026-07-27,B?,6,,OpenAlex,When Faculty Work Is Measured but Faculty Lives Are Not,"Khandakar Kamrul Hasan, Md. Abu Hasnat, Hissan Khandakar",2026,2026-07-23,article,,OA,,10.66246/93sa9419,https://doi.org/10.66246/93sa9419,workplace burnout neuroscience,NEW — to review
2026-07-27,B?,6,,OpenAlex,Empathic leadership and workforce retention,Helen Riess,2026,2026-07-23,book-chapter,Edward Elgar Publishing eBooks,OA,,10.4337/9781035332526.00020,https://doi.org/10.4337/9781035332526.00020,workplace burnout neuroscience,NEW — to review
2026-07-27,B?,6,,EuropePMC,Cognitive gains and addictive losses: The double-edged sword of Generative AI on employee creative thinking.,"Zhang W, Zhang X, Li F, Zeng X, Wu J.",2026,2026-06-27,journal article,Acta Psychol (Amst),?,,10.1016/j.actpsy.2026.107324,https://doi.org/10.1016/j.actpsy.2026.107324,human-AI collaboration workplace,NEW — to review
2026-07-27,B?,5,,Crossref,High-dimensional Inference Via Hybrid Orthogonalization,"Yang Li, Zemin Zheng, Jia Zhou, Ziwei Zhu",2029,2029,journal-article,Statistica Sinica,?,,10.5705/ss.202025.0220,https://doi.org/10.5705/ss.202025.0220,hybrid work employee outcomes,NEW — to review
2026-07-27,B?,5,,Crossref,AI-Enabled Force and Torque Control for Human Robot Interaction,Vishal Khanna,2028,2028-6-15,journal-article,i-manager's Journal on Augmented &amp; Virtual Reality,?,,10.26634/javr.4.1.1115,https://doi.org/10.26634/javr.4.1.1115,human-AI collaboration workplace,NEW — to review
2026-07-27,B?,5,,Crossref,Edge AI in Wearable Devices,Prof.Anu Jyothy,2028,2028-6-15,journal-article,i-manager's Journal on Augmented &amp; Virtual Reality,?,,10.26634/javr.4.1.1116,https://doi.org/10.26634/javr.4.1.1116,human-AI collaboration workplace,NEW — to review
2026-07-27,B?,5,,Crossref,"When employees mistreat service robots: Customer moral reactions, behavioral contagion, and service provider evaluation","Taeshik Gong, Yu-Shan Huang",2027,2027-1,journal-article,Journal of Retailing and Consumer Services,?,,10.1016/j.jretconser.2026.104998,https://doi.org/10.1016/j.jretconser.2026.104998,technostress employees,NEW — to review
2026-07-27,B?,5,,OpenAlex,WORK BEYOND HOURS: THE RIGHT TO DISCONNECT,,2026,2026-07-25,book-chapter,Anu Books,OA,,10.31995/book.ab365.j326.ch.5,https://doi.org/10.31995/book.ab365.j326.ch.5,attention interruptions knowledge workers,NEW — to review
2026-07-27,B?,5,,OpenAlex,Predictors of psychological resilience among high-risk professionals: a two-year follow-up study in Dutch firefighters,"Bert Lenaert, Tom J. Barry, Ineke Ten Hertog, Miriam J.J. Lommen",2026,2026-07-24,article,European Journal of Psychotraumatology,OA,,10.1080/20008066.2026.2696100,https://doi.org/10.1080/20008066.2026.2696100,occupational stress cortisol HPA axis,NEW — to review
2026-07-27,B?,5,,OpenAlex,Institutional Challenges and Strategic Pathways of Bangladesh University of Professionals to Academic Excellence,"Md. Mahbubul Alam, Mayeesha Tabassum, Helal Uddin",2026,2026-07-24,article,Journal of Tertiary Education and Learning,OA,,10.54536/jtel.v4i2.7437,https://doi.org/10.54536/jtel.v4i2.7437,hybrid work employee outcomes,NEW — to review
2026-07-27,B?,5,,OpenAlex,A Study on HRIS Implementation &amp;amp; its Acceptance among HR Professionals in MSME Companies: A Socioeconomic Exploration,Ms. Shama Parween,2026,2026-07-24,article,Journal of Asia Entrepreneurship and Sustainability,OA,,10.66635/tw56jf88,https://doi.org/10.66635/tw56jf88,technostress employees,NEW — to review
2026-07-27,B?,5,,OpenAlex,The Leadership Lens: A Phenomenological Study of the Lived Sensemaking Experiences of School Leaders Implementing Virginia's New Standards of Accreditation and Accountability,Paul Wilson Jr.,2026,2026-07-22,dissertation,ODU Digital Commons (Old Dominion University),OA,,10.25777/tesn-9j39,https://doi.org/10.25777/tesn-9j39,workplace burnout neuroscience,NEW — to review
2026-07-27,B?,5,,OpenAlex,Exploring the Perceptions of United States Dentists and Dental Hygienists Towards Implementation of New Workforce Shortage Policies,Hite Newton Jones,2026,2026-07-22,dissertation,ODU Digital Commons (Old Dominion University),OA,,10.25777/52kj-2q75,https://doi.org/10.25777/52kj-2q75,job strain cardiovascular disease,NEW — to review
2026-07-27,C?,4,,OpenAlex,The effect of cooperative learning method on students' perceptions of empowerment and the development of professional accounting competencies,Wahida Zraa,2026,2026-07-24,dissertation,University of Southern Queensland ePrints (University of Southern Queensland),OA,,10.26192/q1y52,https://doi.org/10.26192/q1y52,attention interruptions knowledge workers,NEW — to review
2026-07-27,C?,4,,OpenAlex,Clinical Artificial Intelligence Systems in Dentistry: Designing for Safe Human-AI Collaboration,"Shwetha Hegde, Rajesh Vasa",2026,2026-07-22,book-chapter,IntechOpen eBooks,OA,,10.5772/intechopen.1015701,https://doi.org/10.5772/intechopen.1015701,workplace burnout neuroscience,NEW — to review
2026-07-27,C?,0,,OpenAlex,AI-Increased Talent Retention Strategies: Fostering Long-Term Employee Engagement and Development in Talent Management,Jay Barach,2026,2026-07-22,preprint,arXiv (Cornell University),OA,yes,,https://openalex.org/W7170988897,workplace burnout neuroscience,NEW — to review
2026-07-27,C?,0,,arXiv,A Framework of User Experience Principles for Human-AI Agent Interaction in the Workplace,"Kathrin Paimann, Elizangela Valarini, Sebastian Juhl",2026,2026-07-22,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.19941v1,workplace burnout neuroscience,NEW — to review
2026-07-27,C?,-1,,arXiv,NUMA balancing hampering performance of spiking network simulations,"Melissa Lober, Alp Inangu, Gorka Peraza Coppola, Dennis Terhorst, Sebastian Gillessen, Jan Vogelsang",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22275v1,workplace burnout neuroscience,NEW — to review
2026-07-27,C?,-1,,arXiv,When Language Models Meet NeuroGraphs: Exploring Enhanced Agentic LLM Framework Towards Brain Network Analysis,"Jiaxing Li, Rui Dong, Muyao Tang, Youyong Kong",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22082v1,workplace burnout neuroscience,NEW — to review
2026-07-27,C?,-1,,arXiv,Composition Anisotropy Drives Large Bulk Photovoltaic Fields Along the Non-polar Vertical Direction in 2D Hybrid Perovskite Ferroelectrics,"Yuzhong Hu, Andrii Shcherbakov, Jonathan Zerhoch, Lars Schneider, Shangpu Liu, Xitao Liu",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22261v1,occupational stress cortisol HPA axis,NEW — to review
2026-07-27,C?,-1,,arXiv,Exact Neural-Network Representations of the Motzkin States,"Runde Zha, Yuntian Gu, Chaohui Fan, Jia-lin Chen, Hai-Jun Liao, Tao Xiang",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22522v1,remote work wellbeing productivity,NEW — to review
2026-07-27,C?,-1,,arXiv,Payne4GAIN: NLTE Corrections for Red Giants in Milky Way Mapper using H-Band Neural Network Emulators,"Pierre Thibodeaux, Alexander P. Ji, Nicholas Storm, Maria Bergemann, Rana Ezzeddine, Yuan-sen Ting",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22499v1,remote work wellbeing productivity,NEW — to review
2026-07-27,C?,-1,,arXiv,A Self-Calibrating Agentic AI Framework for Autonomous Edge Resource Allocation,"Fin Gentzen, Marla Grunewald, Iulisloi Zacarias, Mounir Bensalem, Admela Jukan",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22400v1,attention interruptions knowledge workers,NEW — to review
2026-07-27,C?,-1,,arXiv,Correlated Coherent Errors in Stabilizer Codes: A General Cumulant Framework and Interference-Based Error Suppression,"Rohan N Rajmohan, Antoine Brillant, Peter Groszkowski, Alireza Seif, Jens Koch, Aashish Clerk",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22503v1,work engagement job demands resources,NEW — to review
2026-07-27,C?,-1,,arXiv,Neuromorphic Non-Orthogonal Multiple Access for Parallel Remote Inference via Vector Symbolic Architecture,"Jiechen Chen, Zihang Song, Dengyu Wu, Bipin Rajendran, Osvaldo Simeone",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22155v1,human-AI collaboration workplace,NEW — to review
2026-07-27,C?,-1,,arXiv,"CausalForge: A Formally Grounded, Self-Improving Agentic Framework for Automated Research in Causal Inference","Jiyuan Tan, Vasilis Syrgkanis",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22511v1,generative AI worker productivity,NEW — to review
2026-07-27,C?,-1,,arXiv,Learning on the Job: Continual Learning from Deployment Feedback for Frozen-Weights Agents,"Valentin Tablan, Scott Taylor, Kristoffer Bernhem",2026,2026-07-24,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.22157v1,job strain cardiovascular disease,NEW — to review
2026-07-27,C?,-1,,arXiv,Understanding ADHD Productivity in Construction Work: Toward AI-enabled VR Interventions,"Zinat Ara, Behzad Esmaeili, Lap-Fai Yu, Sungsoo Ray Hong",2026,2026-07-21,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.18605v1,workplace burnout neuroscience,NEW — to review
2026-07-27,C?,-2,,OpenAlex,Metabolic engineering of Escherichia coli to modulate hydrogen sulfide levels in the mammalian gut,"Justin A. Hayes, Brent Buchinger, Anna W. Lunger, Tanvi Khanvilkar, William Gasparrini, Matthew T. Fernez",2026,2026-07-24,preprint,bioRxiv (Cold Spring Harbor Laboratory),OA,yes,10.64898/2026.07.23.738723,https://doi.org/10.64898/2026.07.23.738723,sleep deprivation cognitive performance work,NEW — to review
2026-07-27,C?,-2,,OpenAlex,Area-level context and functional brain organization across the lifespan,"Jocelyn A. Ricard, Chase Antonacci, Gabriel Reyes, Eugenia Giampetruzzi, Jivesh Ramduny, Gracie Grimsrud",2026,2026-07-23,preprint,bioRxiv (Cold Spring Harbor Laboratory),OA,yes,10.64898/2026.07.21.739899,https://doi.org/10.64898/2026.07.21.739899,sleep deprivation cognitive performance work,NEW — to review
2026-07-27,C?,-2,,arXiv,The Human-AI Substitution Principle: When will you be replaced by AI in your organization?,"Bonny Banerjee, Shreya Singh",2026,2026-07-22,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.20781v1,technostress employees,NEW — to review
2026-07-27,C?,-2,,arXiv,Assessment in Team Problem-Solving Exercises in Computing Education,"Valdemar Švábenský, Jan Vykopal, Sukrit Leelaluk, Pavel Čeleda, Fumiya Okubo, Atsushi Shimada",2026,2026-07-21,preprint,arXiv,OA,yes,,http://arxiv.org/abs/2607.19209v1,workplace burnout neuroscience,NEW — to review
