found_date,auto_tier_guess,auto_score,myth_flag,source_api,title,authors,year,pub_date,type,venue,open_access,preprint,doi,url,query,status
2026-08-10,A?,11,,OpenAlex,Heart rate variability and burnout risk among healthy employees in jobs involving interaction with others,"Irina Böckelmann, Jonas Hartung, Sabine Darius, Stefan Sammito, Beatrice Thielmann",2026,2026-08-04,article,Frontiers in Physiology,OA,,10.3389/fphys.2026.1908141,https://doi.org/10.3389/fphys.2026.1908141,occupational stress cortisol HPA axis,NEW — to review
2026-08-10,A?,10,,OpenAlex,Preliminary study on the prevalence of workplace psychological terror among Hungarian athletes,"Viktória Resperger, Tamás Berki, Anikó Kapros",2026,2026-08-07,article,Frontiers in Sports and Active Living,OA,,10.3389/fspor.2026.1828117,https://doi.org/10.3389/fspor.2026.1828117,human-AI collaboration workplace,NEW — to review
2026-08-10,A?,10,,OpenAlex,Angry and “productive”: engagement in gamified precarious work,Irina Dzero,2026,2026-08-07,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1833833,https://doi.org/10.3389/fpsyg.2026.1833833,generative AI worker productivity,NEW — to review
2026-08-10,A?,9,,OpenAlex,A Systematic Review of Cybercrime in Hybrid Cyber–Physical Space,"Ling Wu, Yuchen Wang, Claire Seungeun Lee, Wei Li, Xinyue Ye",2026,2026-08-08,review,American Journal of Criminal Justice,OA,,10.1007/s12103-026-09938-8,https://doi.org/10.1007/s12103-026-09938-8,human-AI collaboration workplace,NEW — to review
2026-08-10,A?,9,,OpenAlex,Moral emotion processing in euthymic bipolar disorder: insights from network analysis,"Marialaura Lussignoli, Giulia Cattarinussi, Alessandro Miola, Nicolò Trevisan, Silvia Valeggia, Renzo Manara",2026,2026-08-08,article,European Archives of Psychiatry and Clinical Neuroscience,OA,,10.1007/s00406-026-02344-5,https://doi.org/10.1007/s00406-026-02344-5,loneliness work social connection,NEW — to review
2026-08-10,A?,9,,OpenAlex,Biopsychosocial and organizational factors explaining professional engagement,"Tânia Gaspar, Fábio Botelho Guedes, Ana Cerqueira, Elisa Aires, Dulce Pinto, Natália Costa",2026,2026-08-07,article,Frontiers in Public Health,OA,,10.3389/fpubh.2026.1906716,https://doi.org/10.3389/fpubh.2026.1906716,remote work wellbeing productivity,NEW — to review
2026-08-10,A?,9,,OpenAlex,Mapping psychosocial work exposures across construction: a multilevel evidence gap map with implications for offsite construction,"Yize Guo, Don Amila Sajeevan Samarasinghe, Wajiha Shahzad, Ravi Reddy, Zechen Guan",2026,2026-08-07,article,Frontiers in Built Environment,OA,,10.3389/fbuil.2026.1868534,https://doi.org/10.3389/fbuil.2026.1868534,hybrid work employee outcomes,NEW — to review
2026-08-10,A?,9,,OpenAlex,When leadership becomes epistemic: paradoxes of educational leadership in AI-mediated systems,László Balázs,2026,2026-08-07,article,Frontiers in Education,OA,,10.3389/feduc.2026.1919644,https://doi.org/10.3389/feduc.2026.1919644,technostress employees,NEW — to review
2026-08-10,A?,9,,OpenAlex,Mapping desires for cities design: a conceptual framework and methodological roadmap for well-being-centred urban form in the 15-minute city,"Nohemí Ramirez Aranda, Arjan van Timmeren, Birgit Hausleitner, Alexander Wandl",2026,2026-08-06,article,Frontiers in Environmental Science,OA,,10.3389/fenvs.2026.1811931,https://doi.org/10.3389/fenvs.2026.1811931,job strain cardiovascular disease,NEW — to review
2026-08-10,A?,9,,OpenAlex,"Mapping the symptom network of anxiety, depression, somatic symptoms and sleep disturbances in 15,642 infertile women: a retrospective cohort study identifying targets for fertility care","Yan Wang, Yuyang Wang, Yue Feng, Yu Pu",2026,2026-08-05,article,Frontiers in Public Health,OA,,10.3389/fpubh.2026.1884236,https://doi.org/10.3389/fpubh.2026.1884236,occupational stress cortisol HPA axis,NEW — to review
